año, destino, vuelos_totales,tiempo_atrasado_promedio_salida, atrasos_totales_salida, CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay  
1999, BTR, 4668, 513, 51.55555, 57, 0, 0, 0, 0, 0
1999, BTV, 2676, 492, 50.08943, 89, 0, 0, 0, 0, 0
1999, BUF, 18876, 3812, 46.03856, 805, 0, 0, 0, 0, 0
1999, BUR, 27872, 4912, 42.91245, 564, 0, 0, 0, 0, 0
1999, BWI, 81671, 17363, 46.37942, 1729, 0, 0, 0, 0, 0
1999, BZN, 1702, 128, 66.67968, 9, 0, 0, 0, 0, 0
1999, CAE, 4842, 772, 36.91839, 196, 0, 0, 0, 0, 0
1999, CAK, 1018, 133, 31.95488, 53, 0, 0, 0, 0, 0
1999, CDV, 726, 191, 47.71204, 25, 0, 0, 0, 0, 0
1999, CHA, 1007, 88, 29.02272, 43, 0, 0, 0, 0, 0
1999, CHS, 6974, 1176, 43.10799, 238, 0, 0, 0, 0, 0
1999, CID, 5369, 693, 46.21356, 250, 0, 0, 0, 0, 0
1999, CLE, 58434, 9776, 50.59083, 1476, 0, 0, 0, 0, 0
1999, CLT, 120589, 26077, 43.55144, 4477, 0, 0, 0, 0, 0
1999, CMH, 37360, 6226, 48.65242, 1114, 0, 0, 0, 0, 0
1999, COS, 12073, 1340, 48.55895, 346, 0, 0, 0, 0, 0
1999, CRP, 3016, 384, 48.16145, 43, 0, 0, 0, 0, 0
1999, CRW, 1319, 214, 27.42056, 95, 0, 0, 0, 0, 0
1999, CVG, 77278, 10659, 54.93986, 1982, 0, 0, 0, 0, 0
1999, DAB, 2363, 346, 53.83236, 29, 0, 0, 0, 0, 0
1999, DAL, 50118, 9606, 36.85904, 1380, 0, 0, 0, 0, 0
1999, DAY, 10685, 1573, 45.49141, 405, 0, 0, 0, 0, 0
1999, DCA, 82498, 14149, 37.57148, 4339, 0, 0, 0, 0, 0
1999, DEN, 135777, 21419, 48.49773, 2406, 0, 0, 0, 0, 0
1999, DFW, 245036, 47959, 46.63208, 7153, 0, 0, 0, 0, 0
1999, DLG, 317, 85, 44.45882, 16, 0, 0, 0, 0, 0
1999, DLH, 1129, 145, 44.20689, 55, 0, 0, 0, 0, 0
1999, DRO, 112, 9, 143.33333, 1, 0, 0, 0, 0, 0
1999, DSM, 6895, 827, 52.29141, 152, 0, 0, 0, 0, 0
1999, DTW, 154172, 31023, 49.56512, 4570, 0, 0, 0, 0, 0
1999, DUT, 706, 348, 23.16954, 182, 0, 0, 0, 0, 0
1999, EGE, 1129, 206, 70.72330, 40, 0, 0, 0, 0, 0
1999, ELM, 1306, 124, 31.85483, 43, 0, 0, 0, 0, 0
1999, ELP, 24660, 3547, 44.69382, 212, 0, 0, 0, 0, 0
1999, ERI, 1371, 175, 32.24000, 54, 0, 0, 0, 0, 0
1999, EUG, 2175, 473, 73.48625, 21, 0, 0, 0, 0, 0
1999, EWR, 125810, 29343, 48.61691, 5764, 0, 0, 0, 0, 0
1999, FAI, 5514, 987, 40.54913, 246, 0, 0, 0, 0, 0
1999, FAR, 2578, 244, 60.09426, 35, 0, 0, 0, 0, 0
1999, FAT, 364, 36, 71.44444, 5, 0, 0, 0, 0, 0
1999, FAY, 1412, 188, 22.60106, 106, 0, 0, 0, 0, 0
1999, FCA, 1252, 153, 395.67973, 13, 0, 0, 0, 0, 0
1999, FLL, 45729, 8473, 62.63283, 832, 0, 0, 0, 0, 0
1999, FNT, 1250, 169, 51.77514, 30, 0, 0, 0, 0, 0
1999, FSD, 3865, 350, 53.72571, 46, 0, 0, 0, 0, 0
1999, FWA, 432, 47, 36.27659, 20, 0, 0, 0, 0, 0
1999, GEG, 13495, 1893, 47.12836, 183, 0, 0, 0, 0, 0
1999, GFK, 1105, 87, 48.41379, 19, 0, 0, 0, 0, 0
1999, GPT, 1093, 30, 83.06666, 5, 0, 0, 0, 0, 0
1999, GRB, 2429, 255, 55.02745, 41, 0, 0, 0, 0, 0
1999, GRR, 8794, 1100, 50.80818, 276, 0, 0, 0, 0, 0
1999, GSO, 15018, 2599, 47.11889, 546, 0, 0, 0, 0, 0
1999, GSP, 6932, 1064, 39.41353, 340, 0, 0, 0, 0, 0
1999, GST, 98, 41, 39.34146, , 0, 0, 0, 0, 0
1999, GTF, 2415, 208, 76.78365, 42, 0, 0, 0, 0, 0
1999, GUC, 213, 39, 45.56410, 6, 0, 0, 0, 0, 0
1999, HDN, 611, 95, 84.15789, 16, 0, 0, 0, 0, 0
1999, HLN, 850, 69, 37.84057, 10, 0, 0, 0, 0, 0
1999, HNL, 11232, 964, 73.14522, 109, 0, 0, 0, 0, 0
1999, HOU, 57327, 11877, 42.51334, 1110, 0, 0, 0, 0, 0
1999, HPN, 4961, 1036, 29.29150, 469, 0, 0, 0, 0, 0
1999, HRL, 4150, 731, 41.85088, 71, 0, 0, 0, 0, 0
1999, HSV, 5860, 900, 41.12777, 230, 0, 0, 0, 0, 0
1999, IAD, 70977, 15542, 48.32190, 3243, 0, 0, 0, 0, 0
1999, IAH, 129472, 20959, 52.50870, 2075, 0, 0, 0, 0, 0
1999, ICT, 6407, 753, 52.88047, 212, 0, 0, 0, 0, 0
1999, ILM, 2075, 287, 35.93728, 81, 0, 0, 0, 0, 0
1999, IND, 34471, 5557, 50.34209, 910, 0, 0, 0, 0, 0
1999, ISP, 6187, 838, 51.31980, 104, 0, 0, 0, 0, 0
1999, ITH, 1306, 129, 34.70542, 45, 0, 0, 0, 0, 0
1999, JAC, 810, 169, 63.95857, 31, 0, 0, 0, 0, 0
1999, JAN, 9310, 1196, 50.83779, 102, 0, 0, 0, 0, 0
1999, JAX, 23053, 3615, 49.76403, 369, 0, 0, 0, 0, 0
1999, JFK, 44949, 7251, 55.79395, 1105, 0, 0, 0, 0, 0
1999, JNU, 4482, 1250, 49.40080, 148, 0, 0, 0, 0, 0
1999, KOA, 733, 80, 78.81250, 3, 0, 0, 0, 0, 0
1999, KTN, 2440, 599, 50.29215, 90, 0, 0, 0, 0, 0
1999, LAN, 2131, 256, 58.03906, 56, 0, 0, 0, 0, 0
1999, LAS, 125125, 27451, 46.93716, 1292, 0, 0, 0, 0, 0
1999, LAX, 191762, 38160, 42.35225, 5595, 0, 0, 0, 0, 0
1999, LBB, 5999, 786, 40.70610, 94, 0, 0, 0, 0, 0
1999, LEX, 3733, 562, 62.84519, 122, 0, 0, 0, 0, 0
1999, LGA, 98422, 21411, 46.16458, 5474, 0, 0, 0, 0, 0
1999, LGB, 3329, 355, 48.04788, 74, 0, 0, 0, 0, 0
1999, LIH, 403, 44, 97.06818, 1, 0, 0, 0, 0, 0
1999, LIT, 13031, 1921, 46.52837, 170, 0, 0, 0, 0, 0
1999, LNK, 3034, 387, 50.89147, 63, 0, 0, 0, 0, 0
1999, LSE, 651, 68, 30.83823, 27, 0, 0, 0, 0, 0
1999, LWB, 81, 16, 48.37500, 3, 0, 0, 0, 0, 0
1999, MAF, 6377, 757, 42.67503, 96, 0, 0, 0, 0, 0
1999, MBS, 3786, 496, 43.60080, 144, 0, 0, 0, 0, 0
1999, MCI, 60167, 9341, 47.73332, 881, 0, 0, 0, 0, 0
1999, MCO, 97926, 15932, 55.10174, 1757, 0, 0, 0, 0, 0
1999, MDT, 7603, 1085, 46.71336, 317, 0, 0, 0, 0, 0
1999, MDW, 50491, 11407, 47.88743, 939, 0, 0, 0, 0, 0
1999, MEM, 50963, 6763, 50.25447, 793, 0, 0, 0, 0, 0
1999, MFE, 3415, 335, 65.72238, 37, 0, 0, 0, 0, 0
1999, MFR, 1300, 334, 64.75449, 22, 0, 0, 0, 0, 0
1999, MGM, 1271, 155, 58.68387, 18, 0, 0, 0, 0, 0
1999, MHT, 12945, 2538, 48.04215, 290, 0, 0, 0, 0, 0
1999, MIA, 66299, 14297, 56.61306, 1957, 0, 0, 0, 0, 0
1999, MKE, 15407, 2028, 46.02859, 514, 0, 0, 0, 0, 0
1999, MLB, 1796, 194, 52.87113, 23, 0, 0, 0, 0, 0
1999, MLI, 1884, 197, 50.74111, 53, 0, 0, 0, 0, 0
1999, MLU, 2180, 236, 58.62288, 14, 0, 0, 0, 0, 0
1999, MOB, 4311, 699, 49.55221, 102, 0, 0, 0, 0, 0
1999, MOT, 1092, 79, 55.86075, 9, 0, 0, 0, 0, 0
1999, MRY, 717, 131, 48.17557, 30, 0, 0, 0, 0, 0
1999, MSN, 4567, 589, 52.23769, 144, 0, 0, 0, 0, 0
1999, MSO, 2144, 149, 53.40939, 27, 0, 0, 0, 0, 0
1999, MSP, 143419, 24563, 48.79180, 3488, 0, 0, 0, 0, 0
1999, MSY, 49391, 7383, 51.14005, 589, 0, 0, 0, 0, 0
1999, MTJ, 300, 28, 42.78571, , 0, 0, 0, 0, 0
1999, MYR, 2159, 302, 40.88079, 46, 0, 0, 0, 0, 0
1999, OAK, 55489, 9956, 37.38077, 697, 0, 0, 0, 0, 0
1999, OGG, 3047, 344, 87.42441, 22, 0, 0, 0, 0, 0
1999, OKC, 20247, 2548, 48.19662, 247, 0, 0, 0, 0, 0
1999, OMA, 16894, 2327, 51.18908, 175, 0, 0, 0, 0, 0
1999, OME, 923, 273, 42.38095, 47, 0, 0, 0, 0, 0
1999, ONT, 34751, 5909, 42.21560, 496, 0, 0, 0, 0, 0
1999, ORD, 298251, 72320, 45.49644, 15985, 0, 0, 0, 0, 0
