Anio,Mes,Dia,otp
1999,6,1,40.16959179648985
1999,6,2,14.75160012191405
1999,6,3,32.023273273273276
1999,6,4,21.039331303051902
1999,6,5,30.309877340219497
1999,6,6,22.292199919170148
1999,6,7,34.98732572877059
1999,6,8,21.357291732457526
1999,6,9,16.676722982032718
1999,6,10,18.981568849468452
1999,6,11,8.227106227106226
1999,6,12,12.320406865861411
1999,6,13,40.15795462151128
1999,6,14,28.529206127248457
1999,6,15,21.0792741165234
1999,6,16,22.66946458094875
1999,6,17,21.837292010669376
1999,6,18,18.72064982865846
1999,6,19,15.46132874156981
1999,6,20,18.936099029775846
1999,6,21,19.76825396825397
1999,6,22,25.588647066310298
1999,6,23,21.912147988049075
1999,6,24,28.409523809523808
1999,6,25,31.90781131118438
1999,6,26,24.195398179341982
1999,6,27,29.585976627712856
1999,6,28,39.720337370790794
1999,6,29,29.45079365079365
1999,6,30,23.93181385308869
1999,7,1,31.321027392760953
1999,7,2,23.849693251533743
1999,7,3,24.987920204321114
1999,7,4,16.19207869531452
1999,7,5,29.871761824977444
1999,7,6,17.540386948470722
1999,7,7,27.758402029169307
1999,7,8,21.122311350890893
1999,7,9,20.160377358490567
1999,7,10,14.168132696657452
1999,7,11,17.509688627555793
1999,7,12,10.812098875262121
1999,7,13,13.980398355991147
1999,7,14,17.214669617451786
1999,7,15,19.02475997978777
1999,7,16,21.480989435060415
1999,7,17,26.251686669980824
1999,7,18,28.01142781210551
1999,7,19,27.244258872651358
1999,7,20,20.72405929304447
1999,7,21,29.676315956166466
1999,7,22,32.7306693686277
1999,7,23,35.09420839656045
1999,7,24,35.504724017901545
1999,7,25,26.412081697824497
1999,7,26,21.982785899626606
1999,7,27,17.842441897283262
1999,7,28,33.958082694864814
1999,7,29,28.1947261663286
1999,7,30,29.67067764407853
1999,7,31,31.123827125390957
1999,8,1,51.794030829780255
1999,8,2,23.318985195330335
1999,8,3,37.60070166320166
1999,8,4,23.876731839958566
1999,8,5,15.410273515677119
1999,8,6,19.02872864546676
1999,8,7,21.685678073510772
1999,8,8,25.483099807424132
1999,8,9,18.261281161249606
1999,8,10,25.41946835920317
1999,8,11,11.40273210220086
1999,8,12,8.672594474436329
1999,8,13,31.06826801517067
1999,8,14,30.392226399035394
1999,8,15,19.773692593575788
1999,8,16,13.736333185868672
1999,8,17,16.114448308567816
1999,8,18,18.344299633050742
1999,8,19,22.71291382360374
1999,8,20,29.645291593032063
1999,8,21,14.088652482269504
1999,8,22,16.173052659539145
1999,8,23,17.562179608885515
1999,8,24,25.591847069249273
1999,8,25,20.053780449224927
1999,8,26,27.779183802594115
1999,8,27,31.202555668016196
1999,8,28,14.561864828370407
1999,8,29,17.26855546687949
1999,8,30,14.154702422364176
1999,8,31,13.854440686458725
1999,9,1,32.73514851485149
1999,9,2,18.547544409613376
1999,9,3,36.53046641548655
1999,9,4,36.32635929226398
1999,9,5,12.54541715225886
1999,9,6,22.45667881578106
1999,9,7,26.024887878213633
1999,9,8,21.911142008468683
1999,9,9,21.890766902119072
1999,9,10,15.593969703558745
1999,9,11,8.637600455609695
1999,9,12,24.790635706128665
1999,9,13,14.227539617400089
1999,9,14,17.084966493867746
1999,9,15,23.528483011241633
1999,9,16,33.16291106482358
1999,9,17,29.499148426165394
1999,9,18,11.686895849989098
1999,9,19,18.194249883263293
1999,9,20,16.393028542561254
1999,9,21,18.52483883200607
